A_x,B_x,C,D_x,E,F,G,A_y,B_y,D_y
"1, ""000001"," ""想像力の教室 """," ""佐藤  慶太[Sato Keita]"""," ""1Q"""," ""金1"""," ""1～""", ,,,
"2, ""000002"," ""地方で生きるということを考える """," ""大村　隆史"""," ""1Q"""," ""金1"""," ""1～""", ,,,
"3, ""000003"," ""ライフプランニングから見た金融 """," ""三好　秀和[Hidekazu MIYOSHI]"""," ""1Q"""," ""木5"""," ""1～""", ,,,
"4, ""000004"," ""社会人になるための基礎を学ぶ """," ""竹内　正興"""," ""3Q"""," ""火2"""," ""1～""", ,,,
"5, ""000005"," ""ワークライフバランスとキャリアデザイン """," ""小方　朋子", 片岡　元子[OGATA Tomoko," KATAOKA Motoko]"""," ""1Q"""," ""火1""",,,
"6, ""000006"," ""地域で活躍する職業人に学ぶA """," ""原　瑞穂"""," ""1Q"""," ""月5"""," ""1～""", ,,,
"7, ""000007"," ""地域で活躍する職業人に学ぶB """," ""原　瑞穂"""," ""2Q"""," ""月5"""," ""1～""", ,,,
"8, ""000008"," ""キャリアデザインと自己理解 """," ""原　瑞穂"""," ""1Q"""," ""木1"""," ""1～""", ,,,
"9, ""000009"," ""キャリアデザインと対人関係 """," ""原　瑞穂"""," ""3Q"""," ""金2"""," ""1～""", ,,,
"10, ""000010"," ""私たち（主権者）と公共・代表 """," ""三野　靖", 堤　英敬[Mino Yasushi," Tsutsumi Hidenori]"""," ""1Q"""," ""火2""",,,
"11, ""000011"," ""多様なライフ・キャリアを考える－男女共同参画の視点から """," ""柴田  潤子"," 黒澤　あずさ[Shibata Junko]"""," ""1Q"""," ""木5"""," ""1～""",,,
"12, ""000012"," ""D（ダイバーシティ）＆I（インクルージョン）入門 """," ""柴田  潤子"," 黒澤　あずさ[Shibata Junko]"""," ""1Q"""," ""木1"""," ""1～""",,,
"13, ""000013"," ""学ぶ・働く・生きる """," ""小方　直幸[OGATA Naoyuki]"""," ""1Q"""," ""木1"""," ""1～""", ,,,
"14, ""000014"," ""身近な生活における支援を考える """," ""大沼　泰枝[Yasue ONUMA]"""," ""3Q"""," ""金2"""," ""1～""", ,,,
"15, ""000015"," ""人生100年時代の学びと仕事を考える """," ""蝶　慎一[CHO Shinichi]"""," ""1Q"""," ""火1"""," ""1～""", ,,,
"16, ""000021"," ""映像から学ぶ香川の歴史と文化、地域の課題 """," ""岡田　徹太郎", 西本　佳代[Okada Tetsutaro," NISHIMOTO KAYO]"""," ""1Q"""," ""金2""",,,
"17, ""000022"," ""地域社会におけるSDGs達成への取り組み """," ""ロン　リム", 高水　徹, 塩井　実香, 原　直行, 和田　健司[Lrong Lim,,,
"18, ""000023"," ""地域をデザインする思考と実践 """," ""西成　典久[Nishinari Norihisa]"""," ""1Q"""," ""火2"""," ""1～""", ,,,
"19, ""000101"," ""名画を読む-美術史入門- """," ""古草　敦史[FURUKUSA Atsushi]"""," ""3Q"""," ""木1"""," ""1～""", ,,,
"20, ""000102"," ""教養としての書道実技 """," ""小西　憲一[KONISHI Kenichi]"""," ""1Q"""," ""月5"""," ""1～""", ,,,
"21, ""000103"," ""現代の美術表現 """," ""吉川　暢子[YOSHIKAWA Nobuko]"""," ""4Q"""," ""木1"""," ""1～""", ,,,
"22, ""000104"," ""SDGsをテーマとした問題解決学習 """," ""神野　幸隆[KAMINO Yukitaka]"""," ""3Q"""," ""火2"""," ""1～""", ,,,
"23, ""000105"," ""学習環境の現在と未来 """," ""笹屋　孝允[SASAYA Takayoshi]"""," ""1Q"""," ""月5"""," ""1～""", ,,,
"24, ""000106"," ""特別支援教育とは　－誰一人取り残さない社会のために－ """," ""坂井　聡", 山本　木ノ実[SAKAI Satoshi," YAMAMOTO Konomi]"""," ""1Q"""," ""金1""",,,
"25, ""000107"," ""教養としての中国古代帝王伝説 """," ""古橋　紀宏[FURUHASHI Norihiro]"""," ""4Q"""," ""金2"""," ""1～""", ,,,
"26, ""000108"," ""アメリカ「帝国」とグローバリゼーション """," ""石井　一也[Ishii Kazuya]"""," ""1Q"""," ""火2"""," ""1～""", ,,,
